Nombre,Puntuación,Precio,Estrellas,Llaves,Direccion,ciudad,web,Puntuacion
Casa Sevilla 1855 Suites by Época,8.9,145 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Simón Verde Hotel Apartamentos,7.5,55 €,0 estrellas,3 llaves,Mairena del Aljarafe,Sevilla,Amimir,
Apartamentos Boutique Vida,8.0,101 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Un Patio en Santa Cruz,8.0,97 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
MDD4 Health Experience Hotel,9.0,100 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hospes Las Casas del Rey de Baeza,8.9,412 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Plaza Santa Lucia,9.1,73 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Catalonia Hispalis,8.2,57 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Zenit Sevilla,9.4,107 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casual Sevilla de las Letras,8.7,68 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
NH Collection Sevilla,9.0,126 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Cetina Sevilla,9.2,111 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Parador de Carmona,9.0,98 €,4 estrellas,0 llaves,Carmona,Sevilla,Amimir,
Holiday Rentals Tempa Museo,8.3,84 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Hotel Giralda Center,9.1,160 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Only YOU Hotel Sevilla,9.5,188 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Vincci Selección Unuk 5* GL,9.0,264 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Los Salados Holiday Rentals,8.9,81 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Hostal Sevilla Santa Justa,8.6,58 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Lince,8.6,46 €,1 estrellas,0 llaves,Aznalcázar,Sevilla,Amimir,
Hotel Casa del Poeta,9.3,393 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Ítaca Sevilla,8.2,108 €,3 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
H10 Casa de la Plata,9.3,232 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hacienda Olontigi,8.2,48 €,0 estrellas,0 llaves,Aznalcázar,Sevilla,Amimir,
Posada Del Lucero,9.3,137 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hostal Bar Mellizo,8.4,37 €,1 estrellas,0 llaves,Lebrija,Sevilla,Amimir,
Hotel Ciudad Del Sol,8.2,67 €,3 estrellas,0 llaves,Écija,Sevilla,Amimir,
Singular Metropol,8.5,104 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
On Suites Sevilla,8.4,94 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Reservaloen Plaza del Salvador,8.0,115 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
NH Sevilla Plaza de Armas,9.0,148 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Boutique Palacio Pinello,8.8,194 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Palacio Alcazar,8.5,143 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Basic Hotel Puerta de Sevilla,8.3,98 €,1 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Cool Sevilla Hotel,8.0,55 €,2 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Eurostars Torre Sevilla,8.2,121 €,5 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Casa Quintero Apartments,8.5,157 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Slow Suites Maestranza,8.4,110 €,0 estrellas,4 llaves,Sevilla,Sevilla,Amimir,
Apartamentos Sevilla Palace,8.5,85 €,0 estrellas,3 llaves,Sevilla,Sevilla,Amimir,
Silken Al-Andalus Palace,8.6,223 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Hotel Palacio de San Fernando,8.9,67 €,3 estrellas,0 llaves,Utrera,Sevilla,Amimir,
Hesperia Sevilla,8.5,126 €,4 estrellas,0 llaves,Sevilla,Sevilla,Amimir,
Ardea Purpurea,8.9,80 €,4 estrellas,0 llaves,Villamanrique de la Condesa,Sevilla,Amimir,
