Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
B&b Hotel Écija,9.2,62.0,3 estrellas,0 llaves,Écija,Amimir,Sevilla,b&b ecija
Petit Palace Marqués Santa Ana,8.8,158.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,petit palace marques santa ana
Nqn Aparts & Suites Sevilla,9.5,247.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,nqn aparts &
The Zentral Plaza De Armas,9.0,129.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,the zentral plaza armas
Mercer Plaza Sevilla 5 GL,9.1,295.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,mercer plaza gl
Leflet Gran Avenida,8.0,70.0,1 estrellas,0 llaves,Coria del Río,Amimir,Sevilla,leflet gran avenida
Apartamento El Museo Écija,9.8,63.0,0 estrellas,0 llaves,Écija,Amimir,Sevilla,museo ecija
Urban Cube Hostel Sevilla,8.8,35.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,urban cube
Intelier Casa de Indias Hotel,9.2,140.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,intelier casa indias
Hilton Garden Inn Sevilla,8.9,96.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,hilton garden inn
Hotel Cervantes,8.7,110.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,cervantes
Casa del Pozo Santo,8.1,116.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,casa pozo santo
Posada Pilatos,9.5,155.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,posada pilatos
TRH La Motilla Business & Cultural Hotel,8.4,96.0,4 estrellas,0 llaves,Dos Hermanas,Amimir,Sevilla,trh motilla business & cultural
Suites Machado,9.4,205.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,machado
Apartamento Puerta Carmona,9.5,708.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,puerta carmona
Hotel Rural Hoyo Bautista,8.9,50.0,0 estrellas,0 llaves,Martín de la Jara,Amimir,Sevilla,rural hoyo bautista
Derby,8.8,103.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,derby
Ritual Sevilla Suites,8.4,113.0,0 estrellas,3 llaves,Sevilla,Amimir,Sevilla,ritual
Mairena,7.9,49.0,2 estrellas,0 llaves,Mairena del Alcor,Amimir,Sevilla,mairena
Catedral Boutique,8.0,65.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,catedral
Lirium Casa Patio,9.2,76.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,lirium casa patio
Casa Rural Sierra Morena,9.3,90.0,0 estrellas,0 llaves,Cazalla de la Sierra,Amimir,Sevilla,casa rural sierra morena
Vincci La Rábida,8.9,176.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,vincci rabida
Apartahotel Sevilla Salado,7.7,60.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,aparta salado
Isg Apartments La Florida,9.2,156.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,isg florida
Sevilla Home Center Suites,9.4,173.0,0 estrellas,4 llaves,Sevilla,Amimir,Sevilla,home center
Welldone Sierpes Boutique,8.7,75.0,1 estrellas,0 llaves,Sevilla,Amimir,Sevilla,welldone sierpes
Vista Corral Del Conde,9.2,112.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,vista corral conde
Hotel Kivir,9.7,162.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,kivir
Samay Hostel,8.6,24.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,samay
Hotel Torre de los Guzmanes,7.6,56.0,3 estrellas,0 llaves,La Algaba,Amimir,Sevilla,torre guzmanes
Hotel Bellavista Sevilla,7.2,71.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,bellavista
La Casa Del Conde - Un Alojamiento único En Écija,9.1,99.0,0 estrellas,0 llaves,Écija,Amimir,Sevilla,casa conde un alojamiento unico
Pórtico Del Azahín,9.0,17.0,0 estrellas,0 llaves,Cazalla de la Sierra,Amimir,Sevilla,portico azahin
Petit Palace Puerta de Triana,8.8,111.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,petit palace puerta triana
Inglaterra,9.5,143.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,inglaterra
Hotel Tayko Sevilla,9.3,153.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,tayko
Tu Rincón Sevillano,9.0,104.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,tu rincon no
Patio Rialto Apartment,9.0,150.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,patio rialto
Apartamento Entero A 10 Minutos En Coche De Sevilla Centro,9.0,124.0,0 estrellas,0 llaves,Camas,Amimir,Sevilla,entero a minutos
Apartamentos Vértice Bib-Rambla,9.2,63.0,0 estrellas,2 llaves,Sevilla,Amimir,Sevilla,vertice bib rambla
Hotel Casa De Colon,8.2,140.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,casa colon
Radisson Collection Hotel Magdalena Plaza Sevilla,9.0,261.0,5 estrellas,0 llaves,Sevilla,Amimir,Sevilla,radisson collection magdalena plaza
Hostal Alcobia,5.2,33.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,alcobia
Soho Boutique Sevilla,8.4,103.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,soho
Doña Lola,8.5,60.0,2 estrellas,0 llaves,Sevilla,Amimir,Sevilla,doña lola
Monte Triana,9.5,114.0,4 estrellas,0 llaves,Sevilla,Amimir,Sevilla,monte triana
Mare Hotel,7.2,97.0,4 estrellas,0 llaves,Dos Hermanas,Amimir,Sevilla,mare
Apartamento El Teatro,8.6,85.0,0 estrellas,0 llaves,Écija,Amimir,Sevilla,teatro
Apartamento Chic Centro,8.6,99.0,0 estrellas,0 llaves,Dos Hermanas,Amimir,Sevilla,chic centro
Atico Caleria Con Vistas A La Giralda,8.6,110.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,atico caleria con vistas a giralda
Sevilla Centro Histórico Cerca Estación Ave,8.6,204.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,centro historico cerca estacion ave
Paraná Center Apartment,8.6,120.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,parana center
Alojamiento Seda,8.6,63.0,0 estrellas,0 llaves,Alcalá de Guadaira,Amimir,Sevilla,alojamiento seda
H10 Corregidor Boutique Hotel,9.0,127.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,h corregidor
Nine O Clock San Agustin,8.5,132.0,0 estrellas,0 llaves,Sevilla,Amimir,Sevilla,nine o clock san agustin
Triana Apartahotel,8.4,64.0,3 estrellas,0 llaves,Sevilla,Amimir,Sevilla,triana aparta
