Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Apartamento Zaragoza Centro,7.8,245.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,centro
Lagarterie Piso Restaurado En El Centro Histórico Parking Gratis Check-in 24 H,6.4,128.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,lagarterie piso restaurado
AZ The Botanic Hostel,7.4,22.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,az the botanic
Apartamento Plaza España,9.7,250.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,plaza españa
Serena Arte,9.0,187.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,serena arte
Valeria-dreams San Pablo,8.5,129.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,valeria dreams san pablo
El Pilar A 3 Minutos,8.6,96.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,pilar a minutos
Apartamentos Rurales Hermanos Alcalá,,155.0,0 estrellas,0 llaves,Ibdes,Amimir,Zaragoza,rurales hermanos alcala
Apartamento Virgenes Eco Friendly,9.1,129.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,virgenes eco friendly
El Bc Zaragoza - Aljafería,9.3,144.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,bc aljaferia
El Primero G Zaragoza - Aljafería,9.3,135.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,primero g aljaferia
Moderno Apartamento En Casco Histórico + Desayuno!,8.7,107.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,moderno
Pension Miraflores,7.5,40.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,miraflores
Rooftop Alfonso,9.8,300.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,rooftop alfonso
Gran Piso Pleno Centro. Plaza Del Pilar + Desayuno,9.2,121.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,gran piso pleno centro. plaza pilar + desayuno
Valeria-dreams Maestro Luna,8.3,129.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,valeria dreams maestro luna
Az El Balcón De Rey Alfonso I,8.6,97.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,az balcon rey alfonso i
Apartamento Zaragoza Centro 2,8.2,235.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,centro
Atico Centro Sol Y Vistas,9.6,157.0,0 estrellas,0 llaves,Zaragoza,Amimir,Zaragoza,atico centro sol vistas
